RootCause,Ocorrencias_anteriores,Tempo_medio_resolucao,Desvio_padrao,Prioridade_resolucao
Cabo rompido,56,3.83,0.73,Alta
Curto-circuito,57,5.98,1.4,Média
Atualização mal aplicada,57,4.63,0.78,Alta
Atualização mal aplicada,48,4.71,0.53,Média
Interferência externa,32,5.83,1.07,Baixa
Falha de roteador,7,4.35,1.79,Média
Falha de roteador,43,2.46,0.52,Alta
Cabo rompido,48,7.18,1.24,Alta
Conexão instável,40,6.35,1.14,Alta
Manutenção mal sucedida,58,4.44,0.55,Baixa
Erro de firmware,14,5.83,1.88,Alta
Cabo rompido,44,6.82,1.77,Média
Falta de energia,28,3.48,1.31,Alta
Conexão instável,29,4.18,1.98,Média
Curto-circuito,28,6.9,1.41,Baixa
Interferência externa,45,6.52,1.87,Baixa
Erro de firmware,37,5.23,0.99,Média
Curto-circuito,26,4.88,1.83,Alta
Falta de energia,51,6.96,1.34,Média
Cabo rompido,31,6.69,1.28,Alta
Interferência externa,17,5.73,1.21,Média
Manutenção mal sucedida,34,5.33,0.71,Média
Manutenção mal sucedida,17,5.18,0.74,Baixa
Falha de roteador,57,4.86,1.81,Baixa
Manutenção mal sucedida,34,4.98,0.68,Alta
Conexão instável,5,6.63,0.84,Alta
Manutenção mal sucedida,17,1.52,0.83,Alta
Curto-circuito,19,6.02,0.75,Alta
Curto-circuito,45,4.51,0.88,Alta
Cabo rompido,6,5.28,1.57,Alta
Curto-circuito,21,4.84,1.02,Média
Erro de firmware,57,5.37,1.23,Baixa
Cabo rompido,8,5.18,0.86,Baixa
Falta de energia,56,4.47,1.98,Alta
Conexão instável,13,4.01,0.56,Média
Manutenção mal sucedida,23,4.65,1.57,Baixa
Manutenção mal sucedida,36,6.14,1.76,Média
Falha de roteador,29,1.8,0.81,Média
Interferência externa,39,4.56,1.97,Média
Conexão instável,6,4.72,1.99,Baixa
Falta de energia,41,5.28,0.92,Média
Sobrecarga elétrica,24,5.77,1.83,Média
Curto-circuito,56,5.84,0.51,Alta
Sobrecarga elétrica,29,6.77,0.51,Alta
Erro de firmware,6,7.07,0.84,Média
Conexão instável,18,7.49,0.99,Média
Curto-circuito,11,4.06,1.31,Média
Atualização mal aplicada,59,7.16,0.88,Média
Atualização mal aplicada,49,6.87,1.15,Alta
Conexão instável,32,5.46,1.5,Baixa
Sobrecarga elétrica,8,5.56,0.77,Baixa
Falta de energia,10,5.29,1.06,Alta
Curto-circuito,33,6.21,1.95,Baixa
Falta de energia,36,5.39,1.78,Alta
Erro de firmware,29,7.14,1.9,Alta
Erro de firmware,36,5.0,1.51,Alta
Interferência externa,6,6.82,0.7,Média
Cabo rompido,33,4.83,0.94,Alta
Erro de firmware,29,4.4,0.51,Média
Manutenção mal sucedida,5,5.79,0.61,Alta
Sobrecarga elétrica,27,5.6,1.16,Média
Sobrecarga elétrica,29,4.89,0.73,Baixa
Atualização mal aplicada,26,6.03,0.99,Baixa
Falta de energia,43,2.68,0.63,Alta
Manutenção mal sucedida,34,8.72,1.59,Baixa
Interferência externa,34,6.45,0.56,Alta
Sobrecarga elétrica,32,4.21,0.78,Alta
Falha de roteador,16,6.76,1.11,Alta
Conexão instável,51,5.98,1.57,Média
Falta de energia,5,3.08,1.93,Média
Falta de energia,26,3.72,0.68,Alta
Falta de energia,51,5.84,0.56,Baixa
Manutenção mal sucedida,9,4.11,1.24,Alta
Conexão instável,34,5.41,1.47,Alta
Atualização mal aplicada,9,5.01,0.52,Baixa
Conexão instável,9,6.29,1.53,Média
Cabo rompido,6,5.6,1.91,Média
Erro de firmware,39,4.92,1.46,Alta
Sobrecarga elétrica,47,5.27,1.94,Baixa
Erro de firmware,55,6.38,1.43,Alta
Interferência externa,12,7.83,1.01,Alta
Cabo rompido,8,4.03,1.54,Alta
Curto-circuito,40,6.17,1.32,Alta
Curto-circuito,39,5.38,1.99,Alta
Erro de firmware,53,4.5,1.9,Baixa
Conexão instável,59,7.24,1.63,Média
Falha de roteador,34,5.52,1.74,Alta
Sobrecarga elétrica,53,6.9,0.58,Baixa
Sobrecarga elétrica,16,6.09,1.52,Alta
Interferência externa,51,5.31,0.62,Alta
Falha de roteador,56,7.24,1.69,Média
Falta de energia,46,6.69,1.96,Baixa
Interferência externa,9,5.99,1.56,Baixa
Falha de roteador,14,8.01,1.76,Baixa
Atualização mal aplicada,11,3.34,1.09,Baixa
Erro de firmware,9,4.92,1.27,Alta
Curto-circuito,52,5.93,1.39,Alta
Sobrecarga elétrica,48,5.22,1.34,Alta
Interferência externa,23,5.47,0.52,Alta
Interferência externa,24,4.0,0.68,Alta
Falha de roteador,43,6.28,1.94,Alta
Conexão instável,29,7.8,1.8,Alta
Atualização mal aplicada,48,5.57,0.98,Alta
