RootCause,Ocorrencias_anteriores,Tempo_medio_resolucao,Desvio_padrao,Prioridade_resolucao
Curto-circuito,8,5.8,0.4,Alta
Manutenção mal sucedida,15,2.1,0.6,Alta
Falta de energia,8,4.3,0.9,Baixa
Falha de roteador,9,7.6,0.6,Alta
Cabo rompido,4,3.8,0.7,Alta
Cabo rompido,15,4.1,1.0,Média
Atualização mal aplicada,10,4.3,0.6,Baixa
Interferência externa,18,3.2,0.7,Média
Falha de roteador,16,1.7,0.6,Alta
Falta de energia,9,4.7,0.6,Média
Atualização mal aplicada,7,5.2,0.8,Média
Manutenção mal sucedida,7,4.9,1.0,Média
Interferência externa,11,4.8,0.7,Média
Cabo rompido,5,5.1,0.8,Baixa
Cabo rompido,7,6.5,0.4,Baixa
Cabo rompido,14,4.7,0.4,Média
Conexão instável,10,4.1,0.7,Média
Erro de firmware,10,4.6,0.3,Média
Curto-circuito,10,5.9,0.5,Baixa
Conexão instável,10,7.1,0.7,Alta
Falha de roteador,11,4.1,0.3,Baixa
Cabo rompido,4,5.1,0.5,Alta
Conexão instável,13,5.5,0.7,Média
Curto-circuito,7,3.5,0.7,Baixa
Erro de firmware,6,5.0,0.9,Alta
Interferência externa,13,2.8,0.8,Média
Cabo rompido,7,2.3,0.6,Alta
Erro de firmware,10,5.6,1.0,Alta
Falha de roteador,10,4.4,0.8,Alta
Atualização mal aplicada,5,5.3,0.4,Alta
Falha de roteador,13,5.0,0.4,Alta
Cabo rompido,7,3.5,0.8,Baixa
Atualização mal aplicada,8,4.9,0.7,Baixa
Manutenção mal sucedida,11,3.2,0.9,Alta
Manutenção mal sucedida,13,7.1,0.8,Média
Interferência externa,15,3.0,0.7,Alta
Conexão instável,6,4.7,1.0,Alta
Atualização mal aplicada,13,3.4,0.7,Alta
Falta de energia,6,5.9,0.4,Baixa
Curto-circuito,7,4.5,0.9,Baixa
Cabo rompido,11,4.2,0.5,Alta
Erro de firmware,9,6.3,0.8,Alta
Atualização mal aplicada,5,5.0,1.0,Alta
Manutenção mal sucedida,13,5.8,0.8,Média
Conexão instável,19,3.5,0.7,Média
Falha de roteador,11,2.9,0.6,Alta
Conexão instável,14,5.2,0.6,Média
Erro de firmware,6,4.5,0.5,Alta
Erro de firmware,11,5.9,0.7,Baixa
Cabo rompido,7,4.9,0.8,Média
Manutenção mal sucedida,13,5.3,0.8,Média
Falta de energia,12,2.6,0.4,Média
Manutenção mal sucedida,10,7.8,0.6,Baixa
Manutenção mal sucedida,10,4.8,0.9,Alta
Falha de roteador,10,6.0,0.6,Alta
Manutenção mal sucedida,8,3.7,0.7,Baixa
Atualização mal aplicada,5,5.5,0.8,Alta
Cabo rompido,6,3.0,0.8,Alta
Atualização mal aplicada,9,5.7,0.6,Média
Conexão instável,11,4.5,0.9,Baixa
Curto-circuito,8,5.0,0.4,Média
Conexão instável,11,6.0,1.0,Baixa
Interferência externa,12,3.2,0.4,Média
Curto-circuito,12,4.0,0.3,Alta
Conexão instável,8,5.7,0.9,Média
Erro de firmware,12,8.1,0.5,Média
Cabo rompido,8,4.8,0.8,Alta
Interferência externa,13,5.9,0.9,Alta
Atualização mal aplicada,12,4.8,0.9,Alta
Manutenção mal sucedida,5,7.9,1.0,Média
Falta de energia,10,2.4,0.5,Baixa
Cabo rompido,10,5.1,0.8,Média
Atualização mal aplicada,21,2.6,0.4,Baixa
Interferência externa,9,1.2,0.6,Alta
Falta de energia,8,5.4,0.9,Baixa
Falta de energia,8,5.2,0.6,Baixa
Falta de energia,12,4.6,0.7,Alta
Atualização mal aplicada,14,4.8,0.7,Baixa
Curto-circuito,14,9.6,0.8,Alta
Cabo rompido,12,4.6,1.0,Baixa
Interferência externa,5,5.8,0.3,Baixa
Falha de roteador,8,4.0,0.7,Média
Conexão instável,8,5.4,0.9,Média
Atualização mal aplicada,12,4.6,0.6,Alta
Conexão instável,12,4.4,0.4,Média
Conexão instável,15,7.7,0.7,Alta
Falta de energia,4,6.8,0.5,Média
Falha de roteador,13,5.2,0.4,Média
Interferência externa,14,1.5,0.9,Baixa
Erro de firmware,11,4.5,0.7,Alta
Cabo rompido,14,9.1,1.0,Baixa
Falta de energia,10,4.7,0.9,Baixa
Falta de energia,8,6.7,0.8,Média
Falha de roteador,13,7.2,0.3,Alta
Falta de energia,15,5.3,0.6,Alta
Erro de firmware,11,3.7,0.4,Alta
Erro de firmware,11,1.3,0.9,Média
Curto-circuito,7,6.0,0.4,Média
Atualização mal aplicada,5,3.8,0.5,Baixa
Atualização mal aplicada,10,5.3,0.7,Alta
Atualização mal aplicada,17,3.1,0.5,Alta
Falha de roteador,12,4.6,0.4,Média
Conexão instável,11,5.1,0.7,Baixa
Erro de firmware,7,5.4,0.4,Baixa
Manutenção mal sucedida,10,3.3,0.3,Baixa
Conexão instável,6,6.8,0.6,Média
Curto-circuito,10,4.1,0.8,Média
Falta de energia,11,2.5,0.7,Baixa
Conexão instável,7,4.8,0.6,Média
Atualização mal aplicada,7,5.1,0.7,Alta
Conexão instável,5,5.2,0.6,Alta
Cabo rompido,13,7.0,1.0,Alta
Manutenção mal sucedida,10,4.6,0.3,Média
Interferência externa,16,4.8,0.8,Alta
Falha de roteador,5,3.3,0.9,Alta
Interferência externa,5,6.2,0.9,Alta
Interferência externa,10,5.3,0.4,Média
Cabo rompido,10,4.4,0.5,Alta
Manutenção mal sucedida,8,2.1,0.8,Média
Erro de firmware,9,7.2,0.4,Alta
Interferência externa,15,3.2,0.9,Alta
Manutenção mal sucedida,11,4.1,0.8,Média
Conexão instável,13,5.5,0.8,Alta
Atualização mal aplicada,11,3.2,0.4,Alta
Conexão instável,7,2.8,0.8,Alta
Curto-circuito,11,1.8,0.8,Baixa
Interferência externa,5,6.1,0.9,Média
Interferência externa,10,4.2,0.3,Alta
Atualização mal aplicada,6,9.4,0.3,Alta
Erro de firmware,13,3.5,0.6,Baixa
Curto-circuito,4,3.6,0.4,Média
Cabo rompido,16,4.2,0.7,Média
Cabo rompido,12,5.4,0.9,Média
Curto-circuito,11,4.3,0.6,Média
Manutenção mal sucedida,12,5.9,0.9,Média
Conexão instável,15,3.5,0.3,Média
Erro de firmware,10,2.9,0.4,Média
Falta de energia,8,2.3,0.3,Alta
Curto-circuito,11,1.7,0.5,Baixa
Manutenção mal sucedida,6,4.2,0.9,Média
Manutenção mal sucedida,8,4.5,0.4,Alta
Conexão instável,11,4.1,0.7,Baixa
Erro de firmware,12,6.9,0.6,Baixa
Conexão instável,12,6.8,1.0,Baixa
Conexão instável,8,4.5,0.4,Baixa
Atualização mal aplicada,9,2.3,0.4,Baixa
Falha de roteador,15,4.1,0.3,Alta
Erro de firmware,8,4.1,0.6,Baixa
Atualização mal aplicada,9,4.0,0.5,Baixa
Conexão instável,12,4.0,0.9,Alta
Manutenção mal sucedida,9,4.0,0.7,Alta
Conexão instável,9,4.4,0.7,Baixa
Cabo rompido,15,4.0,0.7,Alta
Erro de firmware,6,5.3,0.4,Baixa
Manutenção mal sucedida,11,5.5,0.6,Alta
