RootCause,Ocorrencias_anteriores,Tempo_medio_resolucao,Desvio_padrao,Prioridade_resolucao
Causa_1,64,5.42,1.37,Média
Causa_2,54,3.24,1.52,Baixa
Causa_3,52,4.83,1.02,Média
Causa_4,65,4.96,0.92,Alta
Causa_5,62,2.85,1.11,Média
Causa_6,61,5.14,0.91,Alta
Causa_7,54,5.2,1.37,Média
Causa_8,64,4.25,0.85,Alta
Causa_9,54,5.5,1.9,Alta
Causa_10,59,5.41,1.59,Baixa
Causa_11,70,4.58,1.2,Média
Causa_12,55,4.14,1.46,Alta
Causa_13,48,3.72,0.71,Alta
Causa_14,52,4.47,1.96,Média
Causa_15,66,4.96,1.02,Baixa
Causa_16,61,4.24,1.16,Média
Causa_17,59,2.74,0.64,Baixa
Causa_18,56,5.51,1.35,Alta
Causa_19,63,4.65,0.87,Média
Causa_20,54,4.2,1.23,Média
Causa_21,62,5.19,1.04,Média
Causa_22,54,5.72,0.88,Alta
Causa_23,53,2.26,0.96,Média
Causa_24,55,4.85,1.27,Média
Causa_25,57,3.36,0.82,Média
Causa_26,59,4.9,0.98,Média
Causa_27,61,4.6,1.4,Média
Causa_28,34,5.01,1.98,Média
Causa_29,54,4.1,1.34,Alta
Causa_30,57,3.0,0.92,Média
Causa_31,70,4.14,1.09,Média
Causa_32,52,4.83,1.21,Baixa
Causa_33,61,5.31,1.1,Alta
Causa_34,70,3.56,1.47,Média
Causa_35,50,5.32,1.27,Alta
Causa_36,62,3.98,1.47,Alta
Causa_37,54,4.79,1.11,Média
Causa_38,56,4.09,1.6,Média
Causa_39,54,4.65,1.15,Alta
Causa_40,54,5.21,0.91,Média
Causa_41,79,3.52,1.85,Baixa
Causa_42,65,3.96,0.65,Baixa
Causa_43,67,4.65,0.98,Alta
Causa_44,63,6.42,1.01,Média
Causa_45,48,3.81,1.95,Média
Causa_46,62,6.13,1.74,Alta
Causa_47,67,6.1,1.65,Média
Causa_48,54,4.42,1.1,Média
Causa_49,66,4.26,1.93,Alta
Causa_50,64,3.95,1.31,Baixa
Causa_51,72,4.45,1.49,Baixa
Causa_52,57,3.37,1.25,Média
Causa_53,52,4.44,1.19,Média
Causa_54,57,5.7,1.12,Alta
Causa_55,70,4.01,1.14,Média
Causa_56,47,4.31,1.38,Alta
Causa_57,45,3.14,1.31,Baixa
Causa_58,60,4.8,1.19,Alta
Causa_59,56,4.71,1.65,Alta
Causa_60,60,4.55,0.31,Média
Causa_61,66,4.33,1.35,Alta
Causa_62,56,4.27,1.42,Média
Causa_63,46,4.9,1.54,Média
Causa_64,74,4.48,1.18,Baixa
Causa_65,53,4.75,1.26,Média
Causa_66,52,4.67,1.5,Alta
Causa_67,67,5.4,1.65,Alta
Causa_68,57,5.04,1.11,Média
Causa_69,59,4.65,1.28,Média
Causa_70,63,5.71,1.7,Média
Causa_71,67,4.84,0.56,Alta
Causa_72,57,5.54,0.99,Alta
Causa_73,70,4.99,1.64,Alta
Causa_74,45,3.03,1.53,Alta
Causa_75,65,5.54,1.36,Alta
Causa_76,54,4.61,1.07,Média
Causa_77,69,4.46,0.94,Alta
Causa_78,60,4.73,1.02,Média
Causa_79,55,4.22,1.66,Média
Causa_80,64,4.68,1.01,Alta
Causa_81,66,4.03,1.23,Média
Causa_82,64,5.52,0.97,Média
Causa_83,52,4.41,1.45,Média
Causa_84,56,4.19,1.04,Baixa
Causa_85,59,3.76,1.17,Alta
Causa_86,59,4.72,0.69,Baixa
Causa_87,65,4.65,0.72,Média
Causa_88,45,4.81,1.2,Média
Causa_89,62,3.68,0.8,Baixa
Causa_90,57,3.22,1.83,Baixa
Causa_91,54,5.0,0.58,Média
Causa_92,54,5.69,0.96,Média
Causa_93,58,3.68,1.21,Média
Causa_94,34,5.77,1.09,Média
Causa_95,55,4.73,0.87,Alta
Causa_96,53,4.49,0.91,Alta
Causa_97,63,4.18,0.9,Baixa
Causa_98,54,3.39,1.11,Alta
Causa_99,58,5.29,1.79,Alta
Causa_100,70,3.88,1.22,Média
Causa_101,66,3.88,1.55,Alta
Causa_102,66,5.29,1.35,Alta
Causa_103,56,2.99,1.53,Média
Causa_104,63,3.28,0.36,Média
Causa_105,58,4.49,1.11,Média
Causa_106,58,4.73,1.59,Média
Causa_107,62,4.89,1.03,Média
Causa_108,55,4.26,1.73,Média
Causa_109,70,6.52,1.65,Média
Causa_110,58,4.32,1.06,Média
Causa_111,64,4.32,1.05,Baixa
Causa_112,70,3.86,0.9,Média
Causa_113,67,4.6,1.01,Alta
Causa_114,50,4.99,0.83,Alta
Causa_115,63,5.46,1.33,Média
Causa_116,65,3.31,0.76,Alta
Causa_117,66,4.3,1.38,Média
Causa_118,52,4.86,1.39,Baixa
Causa_119,55,4.97,0.7,Média
Causa_120,66,4.51,1.66,Alta
Causa_121,54,4.93,1.35,Média
Causa_122,57,3.85,1.42,Alta
Causa_123,71,5.75,0.97,Média
Causa_124,59,5.29,1.39,Média
Causa_125,54,3.42,1.54,Alta
Causa_126,53,3.64,1.17,Baixa
Causa_127,62,3.66,1.8,Alta
Causa_128,50,5.04,1.21,Baixa
Causa_129,58,3.47,1.54,Alta
Causa_130,62,4.24,1.29,Alta
Causa_131,69,4.86,1.38,Alta
Causa_132,64,4.45,0.7,Alta
Causa_133,55,4.71,1.31,Média
Causa_134,68,3.65,0.98,Média
Causa_135,57,4.98,0.95,Média
Causa_136,51,4.01,1.72,Alta
Causa_137,58,4.24,1.14,Média
Causa_138,70,4.69,0.9,Média
Causa_139,61,4.58,1.09,Média
Causa_140,60,4.52,0.81,Média
Causa_141,71,3.9,1.63,Média
Causa_142,49,4.26,0.99,Alta
Causa_143,51,4.5,1.36,Média
Causa_144,48,3.4,1.61,Média
Causa_145,62,4.13,1.05,Média
Causa_146,61,4.81,1.36,Alta
Causa_147,70,3.48,0.89,Alta
Causa_148,61,5.43,1.93,Alta
Causa_149,57,5.52,1.48,Alta
Causa_150,60,3.5,1.14,Alta
Causa_151,60,5.59,0.97,Baixa
Causa_152,48,4.39,1.17,Média
Causa_153,78,4.83,1.1,Média
Causa_154,63,4.1,1.79,Alta
Causa_155,61,5.24,0.83,Baixa
Causa_156,64,4.82,1.24,Alta
Causa_157,64,3.85,1.19,Média
Causa_158,59,3.57,1.16,Baixa
Causa_159,55,3.33,1.17,Média
Causa_160,64,4.65,1.17,Baixa
Causa_161,62,4.96,1.46,Média
Causa_162,54,5.02,1.38,Alta
Causa_163,69,4.41,1.33,Alta
Causa_164,62,3.57,0.29,Alta
Causa_165,65,3.95,1.29,Alta
Causa_166,69,5.42,0.7,Média
Causa_167,60,4.11,1.39,Alta
Causa_168,62,4.61,1.64,Baixa
Causa_169,65,3.64,0.92,Alta
Causa_170,54,4.77,1.12,Média
Causa_171,60,4.13,1.02,Baixa
Causa_172,60,5.34,1.57,Alta
Causa_173,53,5.12,1.23,Média
Causa_174,76,4.1,1.72,Média
Causa_175,50,4.4,1.32,Alta
Causa_176,50,4.06,1.27,Média
Causa_177,69,3.36,1.22,Alta
Causa_178,64,3.81,1.45,Média
Causa_179,52,4.66,0.68,Média
Causa_180,64,4.76,1.23,Média
Causa_181,70,4.62,1.18,Média
Causa_182,59,4.26,1.42,Alta
Causa_183,78,5.25,1.14,Média
Causa_184,47,4.55,0.89,Baixa
Causa_185,64,5.06,1.2,Baixa
Causa_186,68,3.08,0.88,Média
Causa_187,66,1.36,0.62,Média
Causa_188,58,4.73,1.42,Baixa
Causa_189,57,3.36,1.37,Alta
Causa_190,63,4.33,1.34,Média
Causa_191,65,4.26,1.59,Alta
Causa_192,64,5.77,1.0,Baixa
Causa_193,67,4.82,0.77,Média
Causa_194,52,4.63,1.18,Média
Causa_195,58,5.17,1.1,Alta
Causa_196,53,4.79,0.95,Média
Causa_197,57,4.13,1.18,Média
Causa_198,67,5.36,1.02,Média
Causa_199,60,3.61,0.65,Alta
Causa_200,78,4.76,1.07,Média
Causa_201,61,3.26,0.86,Alta
Causa_202,60,4.66,1.27,Média
Causa_203,60,4.65,1.0,Alta
Causa_204,55,5.84,1.53,Alta
Causa_205,59,3.25,1.68,Alta
Causa_206,67,4.02,1.4,Alta
Causa_207,60,5.16,0.73,Alta
Causa_208,54,4.77,1.65,Baixa
Causa_209,53,4.64,1.67,Média
Causa_210,56,3.74,1.21,Alta
Causa_211,60,4.03,1.6,Média
Causa_212,68,5.5,1.03,Média
Causa_213,50,4.46,0.64,Baixa
Causa_214,57,4.8,0.97,Alta
Causa_215,61,4.41,1.72,Alta
Causa_216,47,3.55,0.75,Baixa
Causa_217,54,5.25,1.2,Alta
Causa_218,55,4.9,1.21,Alta
Causa_219,54,6.34,1.05,Alta
Causa_220,61,3.69,1.07,Alta
Causa_221,58,5.16,1.22,Baixa
Causa_222,56,3.45,1.03,Alta
Causa_223,62,4.63,0.77,Baixa
Causa_224,72,5.28,1.26,Baixa
Causa_225,71,2.84,1.52,Média
Causa_226,46,4.34,1.46,Alta
Causa_227,64,4.05,0.96,Alta
Causa_228,58,3.94,0.82,Média
Causa_229,61,4.81,1.11,Média
Causa_230,57,5.4,1.67,Média
Causa_231,60,4.39,1.39,Média
Causa_232,61,4.66,1.41,Baixa
Causa_233,55,4.59,1.47,Média
Causa_234,53,4.5,1.33,Média
Causa_235,56,3.63,1.24,Baixa
Causa_236,61,5.39,1.4,Alta
Causa_237,64,4.74,1.04,Alta
Causa_238,65,4.82,0.78,Alta
Causa_239,56,3.85,1.42,Alta
Causa_240,61,4.13,1.57,Média
Causa_241,66,4.36,0.86,Alta
Causa_242,68,3.27,1.45,Média
Causa_243,59,3.15,1.7,Baixa
Causa_244,58,4.02,1.2,Alta
Causa_245,61,4.92,0.95,Média
Causa_246,51,3.98,1.24,Alta
Causa_247,58,3.68,1.03,Alta
Causa_248,65,3.85,1.01,Média
Causa_249,64,4.14,1.33,Baixa
Causa_250,58,4.22,0.72,Alta
Causa_251,61,6.23,0.77,Alta
Causa_252,54,5.34,1.21,Alta
Causa_253,64,5.32,1.19,Alta
Causa_254,59,5.43,1.3,Alta
Causa_255,58,3.7,1.76,Média
Causa_256,57,3.52,1.23,Alta
Causa_257,59,3.61,1.38,Média
Causa_258,56,5.57,0.91,Média
Causa_259,64,4.06,1.43,Média
Causa_260,57,3.5,1.04,Alta
Causa_261,71,4.16,1.22,Baixa
Causa_262,70,4.31,1.17,Alta
Causa_263,53,4.71,1.51,Média
Causa_264,60,4.7,0.81,Alta
Causa_265,55,3.84,0.52,Média
Causa_266,57,5.05,1.14,Alta
Causa_267,74,3.99,1.34,Alta
Causa_268,57,4.37,1.25,Alta
Causa_269,62,5.05,1.57,Alta
Causa_270,63,3.99,1.33,Baixa
Causa_271,52,4.04,1.03,Média
Causa_272,54,4.97,0.5,Alta
Causa_273,51,3.81,1.13,Média
Causa_274,53,4.19,1.51,Baixa
Causa_275,40,4.94,1.08,Média
Causa_276,63,6.14,1.21,Alta
Causa_277,74,4.98,1.33,Baixa
Causa_278,61,4.88,0.9,Alta
Causa_279,50,4.92,1.39,Média
Causa_280,55,3.64,1.69,Média
Causa_281,56,4.59,1.15,Baixa
Causa_282,52,4.48,0.86,Baixa
Causa_283,66,4.76,1.18,Baixa
Causa_284,65,4.59,0.53,Alta
Causa_285,51,4.8,1.3,Baixa
Causa_286,65,4.25,1.34,Alta
Causa_287,70,4.55,1.7,Alta
Causa_288,73,3.52,1.14,Média
Causa_289,80,4.24,1.32,Média
Causa_290,53,5.61,0.94,Média
Causa_291,79,4.76,1.09,Média
Causa_292,57,4.48,0.74,Baixa
Causa_293,55,6.02,1.14,Alta
Causa_294,62,3.41,1.11,Alta
Causa_295,55,3.61,1.29,Baixa
Causa_296,62,5.87,1.01,Alta
Causa_297,50,4.54,1.23,Média
Causa_298,58,4.31,1.1,Média
Causa_299,68,3.54,1.1,Média
Causa_300,59,4.86,1.22,Média
Causa_301,60,4.94,1.21,Alta
Causa_302,63,3.62,1.43,Baixa
Causa_303,68,4.39,1.16,Alta
Causa_304,48,4.23,1.1,Média
Causa_305,64,4.7,1.15,Alta
Causa_306,58,3.6,0.99,Média
Causa_307,61,5.5,1.09,Média
Causa_308,67,5.23,1.81,Baixa
Causa_309,51,4.21,0.93,Média
Causa_310,52,4.33,1.12,Média
Causa_311,46,4.39,1.08,Baixa
Causa_312,56,3.88,1.13,Média
Causa_313,69,4.15,1.1,Média
Causa_314,59,4.28,1.28,Média
Causa_315,50,5.79,0.69,Média
Causa_316,56,5.26,1.51,Baixa
Causa_317,49,5.25,1.39,Alta
Causa_318,52,4.8,0.83,Média
Causa_319,62,3.61,0.52,Média
Causa_320,51,4.47,0.91,Baixa
Causa_321,67,5.28,1.13,Baixa
Causa_322,59,3.49,1.97,Média
Causa_323,60,5.01,1.36,Média
Causa_324,58,6.36,0.66,Alta
Causa_325,65,5.35,0.99,Média
Causa_326,65,5.63,1.18,Baixa
Causa_327,62,4.67,1.28,Baixa
