RootCause,Ocorrencias_anteriores,Tempo_medio_resolucao,Desvio_padrao,Prioridade_resolucao
Problema no roteador,52,3.16,0.74,Média
Problema no roteador,49,3.43,0.99,Alta
Interferência elétrica,53,3.1,1.01,Média
Atualização pendente,57,3.35,1.14,Alta
Configuração incorreta,48,2.55,0.59,Baixa
Interferência elétrica,48,3.61,1.18,Média
Driver desatualizado,57,3.5,0.19,Alta
Servidor não responde,53,3.09,0.81,Média
Configuração incorreta,47,3.83,0.85,Média
Servidor não responde,52,3.97,1.19,Média
Atualização pendente,47,2.7,1.01,Baixa
Problema no roteador,47,3.12,0.58,Média
Falha de hardware,51,3.12,0.7,Baixa
Driver desatualizado,40,3.03,1.06,Média
Driver desatualizado,41,3.91,0.98,Alta
Driver desatualizado,47,3.4,0.83,Média
Servidor não responde,44,3.37,0.86,Média
Problema no roteador,51,2.5,1.21,Média
Problema no roteador,45,3.82,0.84,Baixa
Problema no roteador,42,2.88,0.97,Média
Servidor não responde,57,3.53,1.65,Baixa
Erro de autenticação,48,3.64,0.57,Média
Rede congestionada,50,4.18,0.44,Média
Conexão intermitente,42,2.85,1.24,Média
Atualização pendente,47,1.99,0.8,Média
Configuração incorreta,50,3.59,0.9,Baixa
Driver desatualizado,44,4.4,0.77,Média
Falha de hardware,51,4.12,0.92,Alta
Servidor não responde,46,3.6,1.48,Média
Rede congestionada,48,3.25,1.24,Média
Configuração incorreta,46,3.9,1.26,Alta
Servidor não responde,59,3.01,0.58,Alta
Atualização pendente,49,3.74,0.65,Média
Servidor não responde,44,3.75,0.15,Média
Conexão intermitente,54,4.03,0.76,Média
Conexão intermitente,43,4.88,1.29,Alta
Configuração incorreta,51,3.7,1.16,Alta
Conexão intermitente,40,3.25,0.93,Média
Driver desatualizado,43,3.49,0.99,Média
Problema no roteador,50,2.62,0.79,Alta
Rede congestionada,53,3.15,1.06,Média
Erro de autenticação,50,3.3,1.23,Média
Problema no roteador,49,3.24,0.52,Alta
Configuração incorreta,48,3.58,1.09,Alta
Configuração incorreta,42,3.09,1.28,Alta
Configuração incorreta,46,4.06,0.88,Baixa
Problema no roteador,47,3.5,1.21,Média
Atualização pendente,55,3.5,1.84,Média
Erro de autenticação,51,3.34,0.97,Média
Interferência elétrica,41,3.58,1.12,Média
Problema no roteador,51,3.91,0.78,Média
Conexão intermitente,48,3.07,1.05,Média
Atualização pendente,46,3.17,1.14,Alta
Atualização pendente,53,3.35,1.06,Média
Falha de hardware,55,2.83,0.69,Média
Configuração incorreta,54,3.09,1.06,Média
Rede congestionada,45,3.26,1.44,Média
Conexão intermitente,48,3.94,1.13,Alta
Configuração incorreta,51,3.63,1.29,Média
Atualização pendente,54,3.6,0.93,Média
Interferência elétrica,47,3.93,1.22,Baixa
Servidor não responde,49,3.43,1.08,Média
Problema no roteador,44,3.7,0.71,Média
Falha de hardware,44,3.45,1.1,Média
Driver desatualizado,54,3.63,0.7,Baixa
Falha de hardware,56,3.21,0.81,Média
Problema no roteador,49,2.28,1.06,Média
Falha de hardware,55,3.43,1.09,Média
Rede congestionada,51,4.21,0.64,Média
Falha de hardware,46,3.96,1.32,Baixa
Servidor não responde,51,3.98,1.17,Alta
Configuração incorreta,57,4.12,0.79,Alta
Erro de autenticação,49,3.54,0.54,Baixa
Configuração incorreta,57,3.6,0.96,Média
Servidor não responde,36,3.19,0.87,Média
Falha de hardware,54,3.34,1.03,Média
Configuração incorreta,50,3.81,0.89,Alta
Driver desatualizado,48,4.1,0.4,Média
Atualização pendente,50,3.43,0.88,Média
Interferência elétrica,40,3.27,0.91,Média
Rede congestionada,48,3.5,1.19,Média
Falha de hardware,51,3.8,0.79,Baixa
Rede congestionada,57,2.78,1.5,Alta
Falha de hardware,47,2.35,0.43,Baixa
Erro de autenticação,45,3.22,1.39,Alta
Falha de hardware,47,2.89,0.93,Média
Rede congestionada,54,3.25,1.26,Baixa
Rede congestionada,51,3.43,1.02,Média
Interferência elétrica,47,3.27,1.34,Média
Rede congestionada,52,4.23,0.88,Média
Problema no roteador,50,3.66,0.67,Média
Problema no roteador,54,3.65,1.43,Alta
Driver desatualizado,46,3.81,0.97,Baixa
Atualização pendente,48,2.93,1.07,Média
Erro de autenticação,48,4.02,1.37,Média
Interferência elétrica,42,3.46,0.69,Média
Servidor não responde,51,3.84,1.18,Alta
Falha de hardware,51,2.96,0.82,Alta
Problema no roteador,50,2.72,0.96,Média
Servidor não responde,48,3.91,1.02,Média
Conexão intermitente,42,3.69,0.55,Média
Erro de autenticação,47,3.05,0.77,Baixa
Erro de autenticação,48,3.07,1.41,Alta
Driver desatualizado,45,4.06,1.27,Média
Interferência elétrica,49,2.91,0.98,Alta
Conexão intermitente,52,4.32,1.07,Média
Driver desatualizado,59,3.05,0.91,Alta
Driver desatualizado,50,3.82,1.41,Baixa
Rede congestionada,51,3.34,0.94,Alta
Servidor não responde,49,3.8,1.07,Baixa
Erro de autenticação,40,3.23,1.34,Média
Driver desatualizado,49,3.42,0.77,Baixa
Problema no roteador,50,3.52,1.47,Média
Problema no roteador,62,3.0,0.54,Baixa
Conexão intermitente,49,3.87,1.49,Alta
Problema no roteador,51,3.24,0.89,Média
Rede congestionada,49,3.39,0.93,Baixa
Problema no roteador,44,3.0,0.43,Alta
Servidor não responde,55,2.22,0.86,Alta
Atualização pendente,53,3.4,0.69,Média
Erro de autenticação,53,4.71,0.82,Baixa
Conexão intermitente,45,3.89,0.96,Média
Erro de autenticação,57,3.49,1.29,Média
Erro de autenticação,42,3.37,1.06,Alta
Erro de autenticação,52,3.51,1.09,Alta
Driver desatualizado,60,3.77,0.67,Baixa
Erro de autenticação,45,2.91,0.74,Alta
Interferência elétrica,47,4.06,1.54,Média
Atualização pendente,50,3.86,0.78,Baixa
Configuração incorreta,47,3.86,1.5,Alta
Atualização pendente,42,3.72,0.93,Média
Rede congestionada,50,3.51,1.0,Alta
Atualização pendente,44,3.84,1.32,Média
Driver desatualizado,52,3.8,1.38,Alta
Interferência elétrica,45,3.32,0.97,Média
Problema no roteador,57,3.21,0.88,Média
Servidor não responde,46,3.55,0.98,Média
Servidor não responde,48,4.27,1.1,Média
Falha de hardware,54,2.88,1.27,Alta
Interferência elétrica,43,2.77,1.0,Média
Atualização pendente,51,3.58,1.19,Média
Servidor não responde,56,3.53,1.49,Média
Interferência elétrica,41,3.59,1.11,Alta
Falha de hardware,50,3.62,1.09,Média
Erro de autenticação,51,3.39,0.54,Alta
Configuração incorreta,53,4.24,0.21,Média
Falha de hardware,43,2.7,1.12,Alta
Atualização pendente,43,3.09,0.97,Média
Configuração incorreta,52,3.45,0.85,Alta
Problema no roteador,51,2.68,1.07,Baixa
Interferência elétrica,51,3.41,0.98,Baixa
Problema no roteador,51,4.33,1.34,Alta
Driver desatualizado,46,3.51,1.03,Média
Servidor não responde,51,3.62,0.78,Alta
Atualização pendente,51,2.87,1.3,Média
Erro de autenticação,46,3.19,0.93,Média
Servidor não responde,59,3.31,1.16,Média
Atualização pendente,52,3.34,0.86,Média
Servidor não responde,44,4.14,0.81,Alta
Problema no roteador,53,3.78,1.03,Média
Driver desatualizado,45,2.94,1.0,Alta
Erro de autenticação,53,3.62,1.14,Média
Interferência elétrica,55,3.75,0.92,Média
Configuração incorreta,45,4.07,0.45,Média
Atualização pendente,54,4.29,0.87,Alta
Interferência elétrica,52,2.99,1.24,Média
Driver desatualizado,54,3.09,0.91,Média
Driver desatualizado,59,2.87,0.93,Alta
Interferência elétrica,48,3.38,1.3,Média
Configuração incorreta,46,3.73,0.79,Baixa
Configuração incorreta,45,3.99,0.54,Baixa
Servidor não responde,45,3.46,0.95,Média
Conexão intermitente,49,3.34,0.85,Média
Driver desatualizado,51,3.58,0.71,Alta
Configuração incorreta,51,3.08,0.95,Baixa
Erro de autenticação,54,4.54,1.15,Alta
Atualização pendente,50,2.7,1.0,Baixa
Problema no roteador,57,3.59,1.09,Média
Problema no roteador,48,4.51,1.54,Média
Atualização pendente,63,3.5,0.9,Baixa
Rede congestionada,53,3.4,1.08,Alta
Problema no roteador,45,3.32,0.85,Média
Erro de autenticação,44,3.41,0.75,Média
Falha de hardware,52,4.19,0.82,Alta
Conexão intermitente,48,2.39,0.86,Média
Problema no roteador,53,4.27,1.11,Média
Driver desatualizado,52,2.79,1.7,Média
Falha de hardware,49,3.37,0.79,Alta
Driver desatualizado,45,3.29,0.88,Baixa
Atualização pendente,42,3.79,0.98,Alta
Conexão intermitente,47,2.7,1.12,Alta
Atualização pendente,54,3.73,1.08,Alta
Problema no roteador,51,4.51,1.39,Alta
Conexão intermitente,43,2.82,0.27,Alta
Driver desatualizado,50,3.59,0.28,Baixa
Driver desatualizado,51,3.17,0.85,Média
Servidor não responde,45,3.71,1.33,Alta
Configuração incorreta,50,3.51,0.53,Alta
Problema no roteador,50,3.18,0.1,Média
Servidor não responde,44,3.74,1.17,Baixa
Driver desatualizado,51,4.4,1.07,Alta
Falha de hardware,52,3.4,0.67,Alta
Falha de hardware,55,3.86,0.7,Alta
Conexão intermitente,55,2.85,0.71,Alta
Erro de autenticação,43,3.02,1.03,Alta
Interferência elétrica,45,3.74,0.81,Média
Falha de hardware,52,4.24,1.15,Alta
Conexão intermitente,52,3.68,0.14,Média
Problema no roteador,52,3.34,0.74,Alta
Conexão intermitente,69,3.5,0.66,Baixa
Problema no roteador,52,2.87,0.92,Baixa
Interferência elétrica,55,3.8,0.84,Média
Configuração incorreta,54,3.94,1.24,Média
Servidor não responde,53,3.27,0.44,Média
Configuração incorreta,48,3.26,1.01,Média
Configuração incorreta,53,3.63,1.17,Média
Configuração incorreta,46,3.28,1.56,Média
Servidor não responde,48,3.47,0.86,Baixa
Atualização pendente,47,4.55,1.1,Baixa
Problema no roteador,50,3.38,0.46,Média
Atualização pendente,61,3.32,0.28,Média
Servidor não responde,40,3.18,1.25,Alta
Erro de autenticação,53,3.87,1.0,Alta
Configuração incorreta,41,3.41,1.35,Média
Rede congestionada,47,3.18,0.59,Alta
Atualização pendente,55,4.16,1.16,Baixa
Interferência elétrica,50,4.21,1.56,Alta
Configuração incorreta,44,3.2,1.13,Média
Erro de autenticação,46,2.57,1.08,Média
Falha de hardware,53,4.0,1.0,Média
Interferência elétrica,46,3.16,0.53,Média
Servidor não responde,51,3.9,1.41,Baixa
Conexão intermitente,50,2.51,0.82,Média
Driver desatualizado,46,3.95,1.15,Média
Conexão intermitente,60,2.89,0.53,Alta
Servidor não responde,53,3.87,0.65,Média
Atualização pendente,39,3.51,1.43,Baixa
Erro de autenticação,50,3.02,0.9,Média
Rede congestionada,46,3.3,1.44,Baixa
Problema no roteador,54,3.84,0.98,Média
Driver desatualizado,46,3.55,0.45,Alta
Erro de autenticação,49,3.79,1.27,Alta
Interferência elétrica,52,4.49,0.82,Média
Problema no roteador,54,2.72,1.21,Média
Driver desatualizado,43,4.31,1.01,Média
Conexão intermitente,48,3.55,0.54,Alta
Interferência elétrica,47,3.05,1.05,Média
Servidor não responde,46,2.83,1.66,Média
Rede congestionada,58,3.41,1.15,Média
Problema no roteador,52,3.96,0.98,Alta
Problema no roteador,43,3.44,1.32,Alta
Driver desatualizado,54,4.26,1.06,Alta
Interferência elétrica,60,2.77,1.06,Alta
Rede congestionada,55,3.49,0.67,Alta
Configuração incorreta,42,2.87,1.07,Alta
Falha de hardware,47,3.68,1.31,Média
Servidor não responde,56,3.94,0.75,Média
Problema no roteador,46,3.29,1.43,Baixa
Servidor não responde,52,2.2,0.97,Alta
Configuração incorreta,53,3.6,0.73,Média
Servidor não responde,45,3.72,1.3,Média
Driver desatualizado,49,3.7,0.91,Alta
Interferência elétrica,33,4.12,1.23,Baixa
Conexão intermitente,44,2.96,0.91,Alta
Atualização pendente,48,3.84,0.98,Baixa
Atualização pendente,43,4.1,1.15,Baixa
Erro de autenticação,58,2.61,1.09,Média
Problema no roteador,42,3.66,0.4,Média
Conexão intermitente,47,3.25,0.66,Média
Driver desatualizado,50,3.46,1.28,Média
Servidor não responde,57,3.67,0.96,Média
Falha de hardware,42,3.26,0.84,Alta
Rede congestionada,55,3.16,0.59,Alta
Configuração incorreta,50,3.52,0.68,Média
Problema no roteador,45,2.96,0.39,Média
Erro de autenticação,52,2.96,0.97,Baixa
Interferência elétrica,50,3.84,0.82,Alta
Rede congestionada,46,2.93,0.71,Baixa
Rede congestionada,50,3.83,0.98,Alta
Rede congestionada,48,3.73,1.11,Média
Falha de hardware,50,2.64,1.63,Média
Problema no roteador,53,3.16,0.55,Média
Rede congestionada,57,4.1,1.35,Alta
Conexão intermitente,43,3.01,1.29,Média
Falha de hardware,60,3.27,0.77,Baixa
Servidor não responde,40,3.73,1.06,Média
Falha de hardware,49,3.89,0.86,Média
Falha de hardware,52,3.37,1.06,Baixa
Rede congestionada,51,3.2,1.45,Média
Interferência elétrica,46,4.21,1.18,Média
Erro de autenticação,48,4.37,1.15,Alta
Erro de autenticação,47,3.99,0.87,Baixa
Atualização pendente,47,3.54,0.55,Média
Problema no roteador,54,3.1,0.94,Alta
Falha de hardware,51,3.08,1.36,Alta
Problema no roteador,46,3.76,0.54,Baixa
Falha de hardware,54,3.71,0.68,Alta
Configuração incorreta,51,4.2,1.04,Baixa
Rede congestionada,54,3.83,0.7,Alta
Atualização pendente,53,2.75,0.76,Média
Erro de autenticação,45,4.03,0.87,Média
Atualização pendente,47,3.0,0.59,Média
Falha de hardware,53,3.31,0.71,Baixa
Configuração incorreta,53,3.63,1.21,Média
Rede congestionada,49,4.5,0.61,Média
Erro de autenticação,50,5.05,0.52,Alta
Conexão intermitente,56,3.8,0.81,Alta
Interferência elétrica,47,3.41,1.22,Alta
Problema no roteador,52,3.77,0.94,Média
Driver desatualizado,48,3.94,0.86,Alta
Interferência elétrica,48,3.34,1.01,Alta
Interferência elétrica,55,4.4,0.48,Média
Rede congestionada,54,3.62,1.15,Média
Falha de hardware,54,3.75,1.12,Média
Driver desatualizado,56,3.83,0.88,Alta
Erro de autenticação,50,3.71,1.3,Alta
Falha de hardware,53,3.92,0.66,Baixa
Interferência elétrica,48,3.19,1.34,Alta
Atualização pendente,51,3.22,1.05,Baixa
Driver desatualizado,49,2.95,0.9,Baixa
Configuração incorreta,50,3.72,0.99,Média
Rede congestionada,52,3.89,0.97,Alta
Interferência elétrica,45,3.73,1.37,Baixa
Rede congestionada,60,4.34,0.68,Média
Driver desatualizado,44,3.5,0.77,Média
Driver desatualizado,43,3.83,1.31,Média
Erro de autenticação,55,2.95,0.82,Alta
Configuração incorreta,53,3.31,1.27,Alta
Problema no roteador,53,3.85,1.51,Média
Rede congestionada,53,3.92,0.88,Média
Configuração incorreta,49,3.35,1.2,Média
Rede congestionada,45,3.46,0.65,Média
Problema no roteador,50,2.74,1.23,Média
Configuração incorreta,46,3.32,1.06,Média
Driver desatualizado,54,3.95,1.14,Baixa
Falha de hardware,49,3.79,0.81,Alta
Servidor não responde,45,3.75,0.5,Média
Erro de autenticação,48,3.52,1.15,Alta
Erro de autenticação,52,3.5,0.38,Média
Atualização pendente,47,3.17,0.9,Média
Driver desatualizado,45,3.85,1.28,Baixa
Conexão intermitente,51,3.71,1.06,Alta
Servidor não responde,51,3.75,1.58,Baixa
Erro de autenticação,47,3.24,1.31,Alta
Conexão intermitente,47,2.42,0.8,Média
Servidor não responde,51,4.05,1.01,Alta
Falha de hardware,42,3.26,0.99,Baixa
Falha de hardware,42,3.07,0.53,Média
Falha de hardware,46,3.85,0.72,Média
Configuração incorreta,48,3.3,0.83,Baixa
Conexão intermitente,51,4.03,0.39,Alta
Driver desatualizado,57,3.81,1.01,Alta
Atualização pendente,54,3.84,0.93,Baixa
Configuração incorreta,49,2.82,0.5,Média
Erro de autenticação,49,4.11,1.12,Alta
Servidor não responde,44,3.63,1.21,Média
Atualização pendente,49,3.32,1.07,Média
Falha de hardware,48,3.57,0.9,Alta
Configuração incorreta,51,2.61,1.18,Alta
Rede congestionada,45,3.7,1.2,Alta
Configuração incorreta,52,2.99,1.09,Média
Configuração incorreta,57,2.82,0.75,Baixa
Driver desatualizado,49,2.74,1.08,Baixa
Servidor não responde,52,4.06,1.36,Média
Problema no roteador,53,3.19,0.82,Alta
Configuração incorreta,47,4.27,1.63,Baixa
Servidor não responde,51,3.23,0.84,Média
Erro de autenticação,50,2.65,1.01,Alta
Erro de autenticação,50,2.94,0.8,Baixa
Falha de hardware,46,4.12,1.07,Média
Falha de hardware,50,3.42,0.48,Média
Erro de autenticação,52,3.23,0.84,Média
Falha de hardware,57,3.58,0.67,Alta
Driver desatualizado,54,3.75,1.04,Alta
Driver desatualizado,60,4.06,1.3,Média
Servidor não responde,46,4.22,1.19,Alta
Configuração incorreta,54,3.32,0.29,Média
Erro de autenticação,50,2.84,1.61,Média
Rede congestionada,60,3.29,1.09,Média
Interferência elétrica,45,3.63,0.77,Média
Rede congestionada,45,3.02,1.05,Média
Erro de autenticação,47,3.02,1.05,Baixa
Erro de autenticação,39,3.67,0.8,Média
Erro de autenticação,47,3.48,1.06,Alta
Problema no roteador,46,3.52,0.82,Alta
Servidor não responde,50,3.12,0.88,Média
Interferência elétrica,51,3.38,0.79,Alta
Falha de hardware,59,3.04,0.57,Alta
Driver desatualizado,54,3.95,1.04,Alta
Interferência elétrica,47,4.02,1.18,Média
Conexão intermitente,45,2.58,1.15,Baixa
Configuração incorreta,52,3.04,1.25,Alta
Atualização pendente,43,2.75,1.1,Média
Servidor não responde,59,3.17,0.84,Média
Servidor não responde,55,3.46,1.25,Alta
Interferência elétrica,47,2.78,0.59,Baixa
Configuração incorreta,41,3.04,0.73,Média
Configuração incorreta,56,3.0,0.71,Média
Driver desatualizado,49,3.6,1.32,Média
Configuração incorreta,56,3.53,1.28,Alta
Atualização pendente,42,3.14,1.15,Média
Servidor não responde,47,3.59,1.32,Alta
Driver desatualizado,50,3.23,0.74,Baixa
Problema no roteador,50,3.36,1.1,Média
Falha de hardware,47,4.34,0.96,Média
Interferência elétrica,53,4.17,1.25,Alta
Interferência elétrica,44,2.85,0.97,Média
Conexão intermitente,49,3.91,0.88,Média
Falha de hardware,50,3.91,1.16,Média
Driver desatualizado,52,2.93,1.26,Média
Problema no roteador,53,3.91,0.8,Média
Problema no roteador,44,4.27,0.98,Baixa
Erro de autenticação,42,2.94,0.68,Média
Erro de autenticação,56,3.04,0.25,Baixa
Servidor não responde,51,4.01,1.06,Baixa
Rede congestionada,46,3.64,1.18,Média
Driver desatualizado,57,3.78,1.08,Alta
Conexão intermitente,50,3.67,0.42,Média
Atualização pendente,55,3.7,0.89,Baixa
Conexão intermitente,50,2.84,0.33,Alta
Conexão intermitente,60,4.02,1.41,Média
Conexão intermitente,58,4.08,0.67,Baixa
Falha de hardware,48,3.39,1.38,Média
Interferência elétrica,54,3.48,1.28,Média
Servidor não responde,53,2.73,0.73,Alta
Driver desatualizado,56,3.76,0.66,Alta
Atualização pendente,45,3.79,1.11,Média
Falha de hardware,53,3.47,0.75,Alta
Interferência elétrica,55,4.06,1.03,Alta
Interferência elétrica,41,3.33,0.86,Baixa
Servidor não responde,44,3.78,0.47,Média
Rede congestionada,39,2.99,0.33,Baixa
Conexão intermitente,48,3.49,1.07,Baixa
Rede congestionada,53,3.41,0.83,Alta
Interferência elétrica,57,3.61,0.83,Alta
Configuração incorreta,50,3.32,1.21,Média
Configuração incorreta,58,3.43,1.35,Média
Configuração incorreta,43,3.91,0.92,Alta
Rede congestionada,41,3.28,0.9,Média
Driver desatualizado,49,2.7,1.15,Alta
Rede congestionada,51,4.37,0.59,Baixa
Erro de autenticação,49,4.19,1.07,Alta
Servidor não responde,39,2.85,1.17,Alta
Driver desatualizado,49,3.84,1.2,Alta
Interferência elétrica,43,3.25,0.42,Baixa
Interferência elétrica,53,3.63,0.77,Média
Driver desatualizado,51,3.65,0.74,Baixa
Configuração incorreta,45,3.38,1.03,Média
Erro de autenticação,47,3.11,1.14,Média
Conexão intermitente,44,3.15,1.45,Alta
Conexão intermitente,49,3.04,0.85,Média
Erro de autenticação,54,3.08,0.85,Média
Erro de autenticação,45,3.47,1.34,Média
Falha de hardware,52,3.14,1.09,Alta
Conexão intermitente,47,3.84,1.38,Baixa
Interferência elétrica,46,4.24,1.09,Alta
Interferência elétrica,49,3.21,0.65,Baixa
Conexão intermitente,44,3.62,0.6,Alta
Conexão intermitente,47,3.75,0.53,Média
Atualização pendente,44,3.74,1.2,Média
Servidor não responde,59,3.54,1.36,Média
Problema no roteador,50,3.87,1.55,Média
Interferência elétrica,46,3.74,1.25,Média
Servidor não responde,51,2.88,1.35,Média
Rede congestionada,49,3.93,0.83,Média
Atualização pendente,48,3.94,0.65,Média
Interferência elétrica,53,3.12,1.26,Baixa
Interferência elétrica,53,3.52,1.13,Alta
Servidor não responde,47,3.84,1.03,Média
Driver desatualizado,47,3.4,1.12,Média
Problema no roteador,48,4.04,1.1,Média
Rede congestionada,38,4.68,1.39,Média
Conexão intermitente,42,3.11,1.39,Média
Servidor não responde,56,2.81,1.16,Alta
Erro de autenticação,58,3.65,1.25,Alta
Interferência elétrica,48,3.86,1.15,Alta
Atualização pendente,52,3.38,0.86,Média
Conexão intermitente,51,4.23,1.23,Média
Conexão intermitente,65,2.83,0.58,Baixa
Erro de autenticação,55,3.85,1.32,Média
Driver desatualizado,49,3.2,0.64,Alta
Configuração incorreta,45,4.36,1.09,Baixa
Atualização pendente,41,4.5,0.75,Baixa
Interferência elétrica,51,3.12,1.17,Média
Atualização pendente,46,3.23,0.99,Média
Atualização pendente,42,3.93,0.52,Baixa
Falha de hardware,46,3.31,1.13,Média
Servidor não responde,44,3.48,0.83,Baixa
Falha de hardware,58,3.51,1.26,Alta
Configuração incorreta,54,2.54,1.0,Alta
Driver desatualizado,49,3.49,1.12,Média
Conexão intermitente,57,3.16,0.71,Média
Atualização pendente,50,3.25,0.82,Baixa
Driver desatualizado,45,4.22,0.86,Baixa
Rede congestionada,57,2.87,1.26,Média
Problema no roteador,52,3.91,1.5,Alta
Conexão intermitente,44,3.36,0.76,Baixa
Conexão intermitente,49,3.36,1.32,Média
Configuração incorreta,45,3.9,0.35,Alta
Interferência elétrica,43,3.67,0.64,Média
Driver desatualizado,54,3.79,0.71,Média
Servidor não responde,59,3.98,0.59,Média
Conexão intermitente,43,3.33,0.52,Média
Servidor não responde,52,3.19,1.12,Média
Atualização pendente,46,2.96,0.94,Baixa
Problema no roteador,47,3.09,1.11,Média
Configuração incorreta,47,4.97,1.21,Média
Interferência elétrica,45,4.12,1.08,Alta
Conexão intermitente,50,2.82,1.2,Média
Erro de autenticação,45,2.84,0.98,Alta
Conexão intermitente,51,3.74,0.64,Alta
Servidor não responde,49,3.77,1.32,Média
Configuração incorreta,48,3.77,0.82,Alta
Falha de hardware,45,3.37,0.72,Média
Falha de hardware,47,3.44,0.95,Alta
Erro de autenticação,53,3.66,0.73,Média
Problema no roteador,52,3.54,0.87,Alta
Servidor não responde,45,2.39,1.1,Alta
Driver desatualizado,50,3.39,1.1,Alta
Driver desatualizado,53,3.07,0.73,Baixa
Problema no roteador,41,3.59,0.85,Baixa
Atualização pendente,52,4.99,1.32,Alta
Rede congestionada,46,3.68,1.15,Média
Falha de hardware,52,3.34,1.62,Média
Erro de autenticação,46,3.96,1.35,Baixa
Driver desatualizado,40,3.74,1.34,Média
Problema no roteador,41,3.71,0.58,Média
Interferência elétrica,50,3.8,1.23,Alta
Driver desatualizado,51,4.53,0.98,Média
Rede congestionada,45,2.93,0.83,Baixa
Configuração incorreta,53,3.74,1.05,Média
Configuração incorreta,41,3.04,1.28,Alta
Servidor não responde,49,3.78,1.15,Alta
Conexão intermitente,43,3.04,0.74,Média
Servidor não responde,46,3.29,1.22,Média
Interferência elétrica,50,3.35,0.81,Média
Problema no roteador,45,3.99,1.07,Baixa
Problema no roteador,48,3.96,0.91,Alta
Interferência elétrica,55,2.88,0.93,Média
